Given input File : input_small_id
Given query File : query_small_id
k : 4
L : 5
number of nearest : 5
Radius : 1000.000000
Given output File : wchange
DIMENSION = 128
Number of vectors in input file: 10000
*!*!**!*!* HASHSIZE = 1250
QINDEX = 13 | QID = 13 | RADIUS = 1000.000000
QINDEX = 817 | QID = 817 | RADIUS = 1000.000000
QINDEX = 203 | QID = 203 | RADIUS = 1000.000000
QINDEX = 615 | QID = 615 | RADIUS = 1000.000000
QINDEX = 950 | QID = 950 | RADIUS = 1000.000000
QINDEX = 545 | QID = 545 | RADIUS = 1000.000000
QINDEX = 415 | QID = 415 | RADIUS = 1000.000000
QINDEX = 607 | QID = 607 | RADIUS = 1000.000000
QINDEX = 123 | QID = 123 | RADIUS = 1000.000000
QINDEX = 987 | QID = 987 | RADIUS = 1000.000000
QINDEX = 669 | QID = 669 | RADIUS = 1000.000000
QINDEX = 72 | QID = 72 | RADIUS = 1000.000000
QINDEX = 27 | QID = 27 | RADIUS = 1000.000000
QINDEX = 1157 | QID = 1157 | RADIUS = 1000.000000
QINDEX = 641 | QID = 641 | RADIUS = 1000.000000
QINDEX = 738 | QID = 738 | RADIUS = 1000.000000
QINDEX = 798 | QID = 798 | RADIUS = 1000.000000
QINDEX = 1189 | QID = 1189 | RADIUS = 1000.000000
QINDEX = 26 | QID = 26 | RADIUS = 1000.000000
QINDEX = 48 | QID = 48 | RADIUS = 1000.000000
QINDEX = 695 | QID = 695 | RADIUS = 1000.000000
QINDEX = 689 | QID = 689 | RADIUS = 1000.000000
QINDEX = 1167 | QID = 1167 | RADIUS = 1000.000000
QINDEX = 520 | QID = 520 | RADIUS = 1000.000000
QINDEX = 1074 | QID = 1074 | RADIUS = 1000.000000
QINDEX = 818 | QID = 818 | RADIUS = 1000.000000
QINDEX = 991 | QID = 991 | RADIUS = 1000.000000
QINDEX = 17 | QID = 17 | RADIUS = 1000.000000
QINDEX = 307 | QID = 307 | RADIUS = 1000.000000
QINDEX = 1161 | QID = 1161 | RADIUS = 1000.000000
QINDEX = 99 | QID = 99 | RADIUS = 1000.000000
QINDEX = 780 | QID = 780 | RADIUS = 1000.000000
QINDEX = 925 | QID = 925 | RADIUS = 1000.000000
QINDEX = 764 | QID = 764 | RADIUS = 1000.000000
QINDEX = 646 | QID = 646 | RADIUS = 1000.000000
QINDEX = 26 | QID = 26 | RADIUS = 1000.000000
QINDEX = 231 | QID = 231 | RADIUS = 1000.000000
QINDEX = 27 | QID = 27 | RADIUS = 1000.000000
QINDEX = 244 | QID = 244 | RADIUS = 1000.000000
QINDEX = 897 | QID = 897 | RADIUS = 1000.000000
QINDEX = 818 | QID = 818 | RADIUS = 1000.000000
QINDEX = 822 | QID = 822 | RADIUS = 1000.000000
QINDEX = 326 | QID = 326 | RADIUS = 1000.000000
QINDEX = 794 | QID = 794 | RADIUS = 1000.000000
QINDEX = 70 | QID = 70 | RADIUS = 1000.000000
QINDEX = 1182 | QID = 1182 | RADIUS = 1000.000000
QINDEX = 725 | QID = 725 | RADIUS = 1000.000000
QINDEX = 616 | QID = 616 | RADIUS = 1000.000000
QINDEX = 974 | QID = 974 | RADIUS = 1000.000000
QINDEX = 1121 | QID = 1121 | RADIUS = 1000.000000
QINDEX = 795 | QID = 795 | RADIUS = 1000.000000
QINDEX = 985 | QID = 985 | RADIUS = 1000.000000
QINDEX = 370 | QID = 370 | RADIUS = 1000.000000
QINDEX = 131 | QID = 131 | RADIUS = 1000.000000
QINDEX = 370 | QID = 370 | RADIUS = 1000.000000
QINDEX = 819 | QID = 819 | RADIUS = 1000.000000
QINDEX = 1234 | QID = 1234 | RADIUS = 1000.000000
